trialnum,latency,getpoints,averagepoint,rad,totalpoint,participants,block,time,indexp,timesensitivity,optimaldeg,optimalt,optimalp
1,2104,15.62257749,0,0.421159332,15.62257749,a,1,2.104,0.720053618,-0.105222969,20.54657184,2.209222969,21.69640858
2,1980,0.161269283,15.62257749,0.285590612,15.78384677,a,1,1.98,0.007432994,-0.229222969,20.54657184,2.209222969,21.69640858
3,2075,17.16314666,7.891923387,0.619819378,32.94699344,a,1,2.075,0.79105934,-0.134222969,20.54657184,2.209222969,21.69640858
4,2349,-5,10.98233115,0.442534608,27.94699344,a,1,2.349,-0.230452887,0.139777031,20.54657184,2.209222969,21.69640858
5,2010,11.89696582,6.986748359,0.604902403,39.84395926,a,1,2.01,0.548338025,-0.199222969,20.54657184,2.209222969,21.69640858
6,2285,37.55758462,7.968791851,0.431310081,77.40154387,a,1,2.285,1.731050763,0.075777031,20.54657184,2.209222969,21.69640858
7,2071,12.41656776,12.90025731,0.445301044,89.81811164,a,1,2.071,0.572286778,-0.138222969,20.54657184,2.209222969,21.69640858
8,1965,13.19684887,12.83115881,0.95598354,103.0149605,a,1,1.965,0.608250385,-0.244222969,20.54657184,2.209222969,21.69640858
9,2042,16.02656329,12.87687006,0.805089272,119.0415238,a,1,2.042,0.738673557,-0.167222969,20.54657184,2.209222969,21.69640858
10,2185,25.02140097,13.22683598,0.622412424,144.0629248,a,1,2.185,1.153250819,-0.024222969,20.54657184,2.209222969,21.69640858
11,2156,24.06909237,14.40629248,0.459705448,168.1320171,a,1,2.156,1.109358366,-0.053222969,20.54657184,2.209222969,21.69640858
12,2078,17.31396676,15.28472883,0.610959773,185.4459839,a,1,2.078,0.798010726,-0.131222969,20.54657184,2.209222969,21.69640858
13,2082,14.38842615,15.45383199,0.460977388,199.83441,a,1,2.082,0.66317087,-0.127222969,20.54657184,2.209222969,21.69640858
14,2357,-5,15.3718777,0.587198098,194.83441,a,1,2.357,-0.230452887,0.147777031,20.54657184,2.209222969,21.69640858
15,2199,26.14473979,13.91674357,0.606503436,220.9791498,a,1,2.199,1.205026154,-0.010222969,20.54657184,2.209222969,21.69640858
16,2127,21.15112622,14.73194332,0.62422489,242.1302761,a,1,2.127,0.974867621,-0.082222969,20.54657184,2.209222969,21.69640858
17,2213,27.14903812,15.13314225,0.596287418,269.2793142,a,1,2.213,1.251314844,0.003777031,20.54657184,2.209222969,21.69640858
18,2107,16.80938045,15.83995966,0.439692545,286.0886946,a,1,2.107,0.774754051,-0.102222969,20.54657184,2.209222969,21.69640858
19,2192,25.22998811,15.89381637,0.63163223,311.3186827,a,1,2.192,1.162864721,-0.017222969,20.54657184,2.209222969,21.69640858
20,2308,-5,16.38519383,0.421892916,306.3186827,a,1,2.308,-0.230452887,0.098777031,20.54657184,2.209222969,21.69640858
21,2103,19.34697651,15.31593414,0.620249486,325.6656592,a,1,2.103,0.891713319,-0.106222969,20.54657184,2.209222969,21.69640858
22,2215,26.23517887,15.50788854,0.636004133,351.9008381,a,1,2.215,1.209194544,0.005777031,20.54657184,2.209222969,21.69640858
23,2232,27.63100679,15.99549264,0.610180113,379.5318449,a,1,2.232,1.273529058,0.022777031,20.54657184,2.209222969,21.69640858
24,2146,22.33948058,16.50138456,0.642297015,401.8713255,a,1,2.146,1.02963956,-0.063222969,20.54657184,2.209222969,21.69640858
25,2368,-5,16.74463856,0.615293369,396.8713255,a,1,2.368,-0.230452887,0.158777031,20.54657184,2.209222969,21.69640858
26,2271,28.83810507,15.87485302,0.607573058,425.7094306,a,1,2.271,1.329164915,0.061777031,20.54657184,2.209222969,21.69640858
27,2149,22.91153631,16.37343964,0.601942221,448.6209669,a,1,2.149,1.056005939,-0.060222969,20.54657184,2.209222969,21.69640858
28,2029,14.07975137,16.61559137,0.647047193,462.7007182,a,1,2.029,0.648943871,-0.180222969,20.54657184,2.209222969,21.69640858
29,2163,23.43309799,16.52502565,0.639958613,486.1338162,a,1,2.163,1.080045018,-0.046222969,20.54657184,2.209222969,21.69640858
30,2121,20.71833936,16.76323504,0.57804718,506.8521556,a,1,2.121,0.954920225,-0.088222969,20.54657184,2.209222969,21.69640858
31,2192,25.61503746,nan,0.612688946,532.4671931,a,2,2.192,1.180611868,-0.017222969,20.54657184,2.209222969,21.69640858
32,2191,25.43095722,25.61503746,0.61895247,557.8981503,a,2,2.191,1.172127503,-0.018222969,20.54657184,2.209222969,21.69640858
