trialnum,latency,getpoints,averagepoint,rad,totalpoint,participants,block,time,indexp,timesensitivity,optimaldeg,optimalt,optimalp
1,2185,-5,0,0.609916903,-5,b,1,2.185,-0.223518247,-0.201669163,19.74796056,2.386669163,22.3695384
2,2068,-5,-5,0.616296937,-10,b,1,2.068,-0.223518247,-0.318669163,19.74796056,2.386669163,22.3695384
3,2515,17.90269533,-5,0.614208922,7.90269533,b,1,2.515,0.800315814,0.128330837,19.74796056,2.386669163,22.3695384
4,2431,25.78605291,2.634231777,0.436004882,33.68874824,b,1,2.431,1.152730667,0.044330837,19.74796056,2.386669163,22.3695384
5,2283,-5,8.42218706,0.380506377,28.68874824,b,1,2.283,-0.223518247,-0.103669163,19.74796056,2.386669163,22.3695384
6,2313,37.27169195,5.737749648,0.436363933,65.96044019,b,1,2.313,1.666180646,-0.073669163,19.74796056,2.386669163,22.3695384
7,2506,15.80678632,10.9934067,0.459290338,81.76722651,b,1,2.506,0.706621032,0.119330837,19.74796056,2.386669163,22.3695384
8,2305,28.52343901,11.68103236,0.623701716,110.2906655,b,1,2.305,1.275101815,-0.081669163,19.74796056,2.386669163,22.3695384
9,2210,-5,13.78633319,0.60283831,105.2906655,b,1,2.21,-0.223518247,-0.176669163,19.74796056,2.386669163,22.3695384
10,2508,18.59125575,11.69896284,0.641616097,123.8819213,b,1,2.508,0.831096977,0.121330837,19.74796056,2.386669163,22.3695384
11,2516,18.00361613,12.38819213,0.802697476,141.8855374,b,1,2.516,0.804827342,0.129330837,19.74796056,2.386669163,22.3695384
12,2277,-5,12.89868522,0.422853926,136.8855374,b,1,2.277,-0.223518247,-0.109669163,19.74796056,2.386669163,22.3695384
13,2381,33.98711359,11.40712812,0.390607044,170.872651,b,1,2.381,1.519348007,-0.005669163,19.74796056,2.386669163,22.3695384
14,2401,29.92875278,13.14405008,0.439316129,200.8014038,b,1,2.401,1.337924469,0.014330837,19.74796056,2.386669163,22.3695384
15,2244,-5,14.34295741,0.450661326,195.8014038,b,1,2.244,-0.223518247,-0.142669163,19.74796056,2.386669163,22.3695384
16,2458,21.77953727,13.05342692,0.43662716,217.580941,b,1,2.458,0.973624796,0.071330837,19.74796056,2.386669163,22.3695384
17,2500,13.96022285,13.59880881,0.399515494,231.5411639,b,1,2.5,0.624072907,0.113330837,19.74796056,2.386669163,22.3695384
18,2375,27.19747519,13.62006846,0.615412764,258.7386391,b,1,2.375,1.215826393,-0.011669163,19.74796056,2.386669163,22.3695384
19,2418,27.7235111,14.37436884,0.425297117,286.4621502,b,1,2.418,1.239342118,0.031330837,19.74796056,2.386669163,22.3695384
20,2462,21.12951126,15.07695527,0.43431617,307.5916614,b,1,2.462,0.944566262,0.075330837,19.74796056,2.386669163,22.3695384
21,2498,16.74684385,15.37958307,0.456844993,324.3385053,b,1,2.498,0.748645035,0.111330837,19.74796056,2.386669163,22.3695384
22,2407,25.38884436,15.44469073,0.626445194,349.7273497,b,1,2.407,1.134973995,0.020330837,19.74796056,2.386669163,22.3695384
23,2308,29.73848846,15.89669771,0.589560235,379.4658381,b,1,2.308,1.329418959,-0.078669163,19.74796056,2.386669163,22.3695384
24,2501,19.09345729,16.4985147,0.638913985,398.5592954,b,1,2.501,0.853547219,0.114330837,19.74796056,2.386669163,22.3695384
25,2501,18.49630269,16.60663731,0.551654983,417.0555981,b,1,2.501,0.826852229,0.114330837,19.74796056,2.386669163,22.3695384
