trialnum,latency,getpoints,averagepoint,rad,totalpoint,participants,block,time,indexp,timesensitivity,optimaldeg,optimalt,optimalp
1,NA,NA,NA,NA,NA,a,1,NA,NA,NA,NA,NA,NA
2,2274,30.27879668,0,0.569912472,30.27879668,a,1,2.274,0.810212859,-0.025999982,11.91457154,2.299999982,37.37140968
3,2005,6.222083104,15.13939834,0.448996643,36.50087978,a,1,2.005,0.166493134,-0.294999982,11.91457154,2.299999982,37.37140968
4,2217,20.44365612,12.16695993,0.941747068,56.94453591,a,1,2.217,0.547040005,-0.082999982,11.91457154,2.299999982,37.37140968
5,2363,23.31583193,14.23613398,0.792697304,80.26036783,a,1,2.363,0.623894901,0.063000018,11.91457154,2.299999982,37.37140968
6,2465,21.74786705,16.05207357,0.621040625,102.0082349,a,1,2.465,0.581938633,0.165000018,11.91457154,2.299999982,37.37140968
7,2069,17.34078827,17.00137248,0.743239535,119.3490232,a,1,2.069,0.464012153,-0.230999982,11.91457154,2.299999982,37.37140968
8,2511,18.26154145,17.04986045,0.795153951,137.6105646,a,1,2.511,0.488650056,0.211000018,11.91457154,2.299999982,37.37140968
9,2187,21.84104316,17.20132057,0.80991641,159.4516078,a,1,2.187,0.584431878,-0.112999982,11.91457154,2.299999982,37.37140968
10,2211,23.14860012,17.71684531,0.772275557,182.6002079,a,1,2.211,0.619420041,-0.088999982,11.91457154,2.299999982,37.37140968
11,2280,27.96588196,18.26002079,0.637345236,210.5660898,a,1,2.28,0.748322908,-0.019999982,11.91457154,2.299999982,37.37140968
12,2291,28.79618417,19.1423718,0.615339542,239.362274,a,1,2.291,0.770540486,-0.008999982,11.91457154,2.299999982,37.37140968
13,2472,21.18695542,19.94685617,0.632938121,260.5492294,a,1,2.472,0.566929522,0.172000018,11.91457154,2.299999982,37.37140968
14,2129,21.28136343,20.04224842,0.627776226,281.8305929,a,1,2.129,0.569455731,-0.170999982,11.91457154,2.299999982,37.37140968
15,2254,27.11731312,20.13075663,0.650543246,308.947906,a,1,2.254,0.725616544,-0.045999982,11.91457154,2.299999982,37.37140968
16,2159,23.41496665,20.59652707,0.62148762,332.3628726,a,1,2.159,0.626547589,-0.140999982,11.91457154,2.299999982,37.37140968
17,2217,26.76627656,20.77267954,0.618487373,359.1291492,a,1,2.217,0.716223359,-0.082999982,11.91457154,2.299999982,37.37140968
18,2033,14.04377804,21.12524407,0.626848598,373.1729272,a,1,2.033,0.375789358,-0.266999982,11.91457154,2.299999982,37.37140968
19,2101,18.96526207,20.73182929,0.579298761,392.1381893,a,1,2.101,0.507480511,-0.198999982,11.91457154,2.299999982,37.37140968
20,2171,24.25837109,20.63885207,0.617089226,416.3965604,a,1,2.171,0.649115762,-0.128999982,11.91457154,2.299999982,37.37140968
21,2233,28.02890873,20.81982802,0.598144244,444.4254691,a,1,2.233,0.750009405,-0.066999982,11.91457154,2.299999982,37.37140968
22,2363,27.96904385,21.16311758,0.605298176,472.394513,a,1,2.363,0.748407515,0.063000018,11.91457154,2.299999982,37.37140968
23,2213,31.56242806,21.47247786,0.442561104,503.956941,a,1,2.213,0.844560811,-0.086999982,11.91457154,2.299999982,37.37140968
24,2219,32.40032132,21.91117135,0.437791304,536.3572623,a,1,2.219,0.866981513,-0.080999982,11.91457154,2.299999982,37.37140968
25,2263,35.61233179,22.34821926,0.448598578,571.9695941,a,1,2.263,0.952929849,-0.036999982,11.91457154,2.299999982,37.37140968
26,2464,21.07502441,22.87878377,0.444749515,593.0446185,a,1,2.464,0.563934424,0.164000018,11.91457154,2.299999982,37.37140968
27,2181,27.40353921,22.80940841,0.452042714,620.4481578,a,1,2.181,0.733275502,-0.118999982,11.91457154,2.299999982,37.37140968
28,2208,30.98861831,22.9795614,0.442020366,651.4367761,a,1,2.208,0.829206567,-0.091999982,11.91457154,2.299999982,37.37140968
29,2236,33.11236287,23.26559915,0.461836017,684.5491389,a,1,2.236,0.886034623,-0.063999982,11.91457154,2.299999982,37.37140968
30,2115,18.18933069,23.60514272,0.44766318,702.7384696,a,1,2.115,0.48671781,-0.184999982,11.91457154,2.299999982,37.37140968
31,2027,8.438031504,nan,0.458153159,711.1765011,a,2,2.027,0.225788419,-0.272999982,11.91457154,2.299999982,37.37140968
32,2289,36.15989966,8.438031504,0.454638844,747.3364008,a,2,2.289,0.967581902,-0.010999982,11.91457154,2.299999982,37.37140968
33,2219,32.18142322,22.29896558,0.444232573,779.517824,a,2,2.219,0.861124145,-0.080999982,11.91457154,2.299999982,37.37140968
34,2245,35.14641787,25.59311813,0.434135884,814.6642419,a,2,2.245,0.940462727,-0.054999982,11.91457154,2.299999982,37.37140968
35,2253,35.7593067,27.98144306,0.434529627,850.4235486,a,2,2.253,0.956862666,-0.046999982,11.91457154,2.299999982,37.37140968
36,2078,13.86152276,29.53701579,0.459756578,864.2850713,a,2,2.078,0.370912494,-0.221999982,11.91457154,2.299999982,37.37140968
37,2151,22.9603017,26.92443362,0.426984508,887.245373,a,2,2.151,0.614381472,-0.148999982,11.91457154,2.299999982,37.37140968
38,2464,20.86753651,26.35812906,0.435821791,908.1129095,a,2,2.464,0.558382375,0.164000018,11.91457154,2.299999982,37.37140968
39,2121,17.79134888,25.67180499,0.412410442,925.9042584,a,2,2.121,0.476068445,-0.178999982,11.91457154,2.299999982,37.37140968
40,2298,36.33463351,24.79619876,0.453158483,962.2388919,a,2,2.298,0.972257504,-0.001999982,11.91457154,2.299999982,37.37140968
41,2348,35.25611198,25.95004223,0.442546845,997.4950039,a,2,2.348,0.943397969,0.048000018,11.91457154,2.299999982,37.37140968
42,2464,19.87173334,26.79604857,0.403534935,1017.366737,a,2,2.464,0.531736253,0.164000018,11.91457154,2.299999982,37.37140968
43,2410,28.70873283,26.2190223,0.441592362,1046.07547,a,2,2.41,0.768200426,0.110000018,11.91457154,2.299999982,37.37140968
44,2151,22.98607868,26.4105385,0.428405796,1069.061549,a,2,2.151,0.615071224,-0.148999982,11.91457154,2.299999982,37.37140968
45,2213,31.34011403,26.16593422,0.44997065,1100.401663,a,2,2.213,0.838612038,-0.086999982,11.91457154,2.299999982,37.37140968
46,2067,11.31373211,26.51087954,0.431912235,1111.715395,a,2,2.067,0.302737633,-0.232999982,11.91457154,2.299999982,37.37140968
47,2301,38.02240745,25.56105783,0.427239863,1149.737802,a,2,2.301,1.017419674,0.001000018,11.91457154,2.299999982,37.37140968
48,2490,17.02214375,26.2940784,0.434196225,1166.759946,a,2,2.49,0.455485728,0.190000018,11.91457154,2.299999982,37.37140968
49,2327,29.10375465,25.77897092,0.600988886,1195.863701,a,2,2.327,0.778770587,0.027000018,11.91457154,2.299999982,37.37140968
50,2310,36.11380747,25.95395953,0.45564778,1231.977508,a,2,2.31,0.966348548,0.010000018,11.91457154,2.299999982,37.37140968
51,2203,29.86703041,26.46195193,0.463647609,1261.844539,a,2,2.203,0.799194643,-0.096999982,11.91457154,2.299999982,37.37140968
52,2308,39.01545347,26.62409852,0.412410442,1300.859992,a,2,2.308,1.04399202,0.008000018,11.91457154,2.299999982,37.37140968
53,2177,26.89131504,27.18734193,0.449514275,1327.751307,a,2,2.177,0.719569191,-0.122999982,11.91457154,2.299999982,37.37140968
54,2264,35.65143279,27.1744712,0.448846058,1363.40274,a,2,2.264,0.95397613,-0.035999982,11.91457154,2.299999982,37.37140968
55,2035,8.301620289,27.52767793,0.4392622,1371.70436,a,2,2.035,0.22213827,-0.264999982,11.91457154,2.299999982,37.37140968
56,2331,35.7158929,26.75863562,0.451961997,1407.420253,a,2,2.331,0.955700981,0.031000018,11.91457154,2.299999982,37.37140968
57,2263,35.77978781,27.10314552,0.44563154,1443.200041,a,2,2.263,0.957410708,-0.036999982,11.91457154,2.299999982,37.37140968
58,2217,32.00484103,27.42450264,0.442925187,1475.204882,a,2,2.217,0.856399084,-0.082999982,11.91457154,2.299999982,37.37140968
59,2242,34.10526651,27.58808615,0.450447056,1509.310148,a,2,2.242,0.912603158,-0.057999982,11.91457154,2.299999982,37.37140968
60,2185,28.26606416,27.81281651,0.395350091,1537.576213,a,2,2.185,0.75635531,-0.114999982,11.91457154,2.299999982,37.37140968
61,2247,35.06342184,nan,0.439004711,1572.639634,a,3,2.247,0.938241884,-0.052999982,11.91457154,2.299999982,37.37140968
62,2192,28.80583362,35.06342184,0.452369892,1601.445468,a,3,2.192,0.77079869,-0.107999982,11.91457154,2.299999982,37.37140968
63,2214,31.30431119,31.93462773,0.454719275,1632.749779,a,3,2.214,0.83765401,-0.085999982,11.91457154,2.299999982,37.37140968
64,2327,35.610176,31.72452222,0.45666692,1668.359955,a,3,2.327,0.952872164,0.027000018,11.91457154,2.299999982,37.37140968
65,2436,25.13633194,32.69593566,0.465362873,1693.496287,a,3,2.436,0.672608611,0.136000018,11.91457154,2.299999982,37.37140968
66,2282,35.69044338,31.18401492,0.460132685,1729.186731,a,3,2.282,0.955019992,-0.017999982,11.91457154,2.299999982,37.37140968
67,2245,42.18988566,31.93508633,0.314590772,1771.376616,a,3,2.245,1.12893482,-0.054999982,11.91457154,2.299999982,37.37140968
68,2132,10.86433059,33.40005766,0.287809596,1782.240947,a,3,2.132,0.290712357,-0.167999982,11.91457154,2.299999982,37.37140968
69,2390,33.2999034,30.58309178,0.293588987,1815.54085,a,3,2.39,0.891052911,0.090000018,11.91457154,2.299999982,37.37140968
70,2273,47.40564704,30.88495974,0.309066245,1862.946497,a,3,2.273,1.268500371,-0.026999982,11.91457154,2.299999982,37.37140968
71,2300,50.56979133,32.53702847,0.297658831,1913.516289,a,3,2.3,1.353167883,1.80E-08,11.91457154,2.299999982,37.37140968
72,2268,46.64178706,34.17637055,0.310123171,1960.158076,a,3,2.268,1.248060682,-0.031999982,11.91457154,2.299999982,37.37140968
73,2299,49.60855391,35.21515525,0.304803025,2009.76663,a,3,2.299,1.327446685,-0.000999982,11.91457154,2.299999982,37.37140968
74,2188,27.73386038,36.32233977,0.321750554,2037.50049,a,3,2.188,0.742114376,-0.111999982,11.91457154,2.299999982,37.37140968
75,2243,42.364733,35.70887695,0.30487452,2079.865223,a,3,2.243,1.133613459,-0.056999982,11.91457154,2.299999982,37.37140968
76,2196,27.85694218,36.15260069,0.277382228,2107.722165,a,3,2.196,0.745407851,-0.103999982,11.91457154,2.299999982,37.37140968
77,2122,10.52658905,35.63412203,0.303529337,2118.248754,a,3,2.122,0.281674926,-0.177999982,11.91457154,2.299999982,37.37140968
78,2186,26.84655204,34.15720833,0.313620652,2145.095306,a,3,2.186,0.718371404,-0.113999982,11.91457154,2.299999982,37.37140968
