,block,participants,latency,rad,getpoints,latency.sd,rad.sd,getpoints.sd,latencysecond,latencysdsecond,optimalr,optimaldeg,optimalt,optimalp,index,timingbias,rad.deg,norm.deg,norm.latencysd,percentagebias
1,1,a,2156.066667,0.575725641,16.89507185,109.1468272,0.126843976,11.09555035,2.156066667,0.109146827,0.358605329,20.54657184,2.209222969,21.69640858,0.778703617,-0.053156302,32.98664939,-0.043764685,-0.301037601,-0.024061085
11,2,a,2183.6,0.60814469,20.47087899,86.68595718,0.033246025,10.04061892,2.1836,0.086685957,0.586671686,20.54657184,2.209222969,21.69640858,0.943514633,-0.025622969,34.84412407,0.11626474,-0.905828502,-0.011598182
21,3,a,2187.066667,0.615244002,19.47568686,86.28098977,0.019683535,10.67298091,2.187066667,0.08628099,0.360692,20.54657184,2.209222969,21.69640858,0.897645653,-0.022156302,35.25088469,0.151308915,-0.916732815,-0.010029002
31,4,a,2155.4,0.608062533,17.2873904,107.7978952,0.013360314,10.33034445,2.1554,0.107797895,0.571850586,20.54657184,2.209222969,21.69640858,0.796785806,-0.053822969,34.83941682,0.11585919,-0.337359515,-0.024362851
41,5,a,2160.966667,0.623042601,21.3364882,98.488047,0.017854604,6.837813863,2.160966667,0.098488047,0.555715197,20.54657184,2.209222969,21.69640858,0.983411062,-0.048256302,35.69771149,0.189804964,-0.588040427,-0.021843111
2,1,c,2217.866667,0.708134082,12.97929675,141.9489304,0.143345614,12.93275673,2.217866667,0.14194893,0.423121069,33.61381158,2.140991464,15.02740541,0.863708431,0.076875203,40.57309423,0.609840136,0.582205721,0.035906357
12,2,c,2193.866667,0.70037285,12.94082304,176.2605308,0.032235035,12.72490287,2.193866667,0.176260531,0.232784863,33.61381158,2.140991464,15.02740541,0.861148195,0.052875203,40.12840839,0.57152854,1.506094426,0.024696597
22,3,c,2201.766667,0.825368134,11.90221946,181.9527569,0.056666897,11.09891764,2.201766667,0.181952757,0.608630879,33.61381158,2.140991464,15.02740541,0.792034229,0.060775203,47.29011062,1.18853996,1.659365715,0.028386476
32,4,c,2199.133333,0.838777735,15.82983805,123.52739,0.018454661,9.722958172,2.199133333,0.12352739,0.492778794,33.61381158,2.140991464,15.02740541,1.05339795,0.058141869,48.05842417,1.254733473,0.086179531,0.027156516
42,5,c,2213.166667,0.851131027,9.861527271,153.292617,0.031185821,11.84968065,2.213166667,0.153292617,0.420116206,33.61381158,2.140991464,15.02740541,0.65623619,0.072175203,48.76621566,1.315712751,0.887650643,0.033711112
