,block,participants,latency,rad,getpoints,latency.sd,rad.sd,getpoints.sd,latencysecond,latencysdsecond,optimalr,optimaldeg,optimalt,optimalp,index,timingbias,toneminusreaction,rad.deg,norm.deg,norm.latencysd,percentagebias
38,2,j,2466.896552,0.721426494,19.23873632,70.39345791,0.102716336,5.490539469,2.466896552,0.070393458,0.254908127,14.60515982,2.359426464,29.37576327,0.654918687,0.107470088,0.166896552,41.33469334,0.289045805,-0.958796445,0.045549242
49,3,j,2483.142857,0.721724171,17.32891054,71.17673064,0.090571388,6.714475445,2.483142857,0.071176731,0.254908127,14.60515982,2.359426464,29.37576327,0.589905031,0.123716393,0.183142857,41.35174897,0.290568092,-0.934708365,0.052434943
27,1,j,2486.892857,0.725657873,19.06807764,47.47033326,0.178413862,2.745179908,2.486892857,0.047470333,0.254908127,14.60515982,2.359426464,29.37576327,0.649109181,0.127466393,0.186892857,41.57713349,0.310684603,-1.663753805,0.054024313
6,4,j,2466.433333,0.762561825,20.20108019,54.20184711,0.054425181,2.074758379,2.466433333,0.054201847,0.254908127,14.60515982,2.359426464,29.37576327,0.687678478,0.107006869,0.166433333,43.69157419,0.499407274,-1.456738822,0.045352915
17,5,j,2468.586207,0.811158908,19.74780975,56.19959153,0.05258275,2.202400161,2.468586207,0.056199592,0.254908127,14.60515982,2.359426464,29.37576327,0.672248396,0.109159743,0.168586207,46.47598194,0.747927306,-1.395301952,0.046265372
13,2,d,2472.037037,0.609628418,15.69676635,83.06460946,0.348943797,11.84384119,2.472037037,0.083064609,0.283008085,16.21516887,2.36860602,26.11269216,0.601116356,0.103431017,0.172037037,34.92913542,-0.282677016,-0.569119157,0.043667464
46,4,d,2510.571429,0.765568753,18.00057854,48.0180742,0.14894246,2.421869423,2.510571429,0.048018074,0.283008085,16.21516887,2.36860602,26.11269216,0.689342119,0.141965409,0.210571429,43.86385847,0.514784367,-1.646909067,0.05993627
3,5,d,2509.862069,0.771308051,16.9351103,81.84511685,0.029499141,5.368171514,2.509862069,0.081845117,0.283008085,16.21516887,2.36860602,26.11269216,0.648539423,0.141256049,0.209862069,44.19269603,0.544134493,-0.606622328,0.059636785
35,3,d,2533,0.809340405,13.00924506,76.12489737,0.320863389,5.408682398,2.533,0.076124897,0.283008085,16.21516887,2.36860602,26.11269216,0.49819624,0.16439398,0.233,46.3717894,0.738627685,-0.782536877,0.069405371
2,1,d,2551.821429,0.831208621,14.11083337,39.60551175,0.39088741,4.870836307,2.551821429,0.039605512,0.283008085,16.21516887,2.36860602,26.11269216,0.540382174,0.183215409,0.251821429,47.62474588,0.850459289,-1.905621502,0.077351576
1,1,b,2377.4,0.534582866,17.34734932,116.4529208,0.104035565,13.69654124,2.3774,0.116452921,0.344666932,19.74796056,2.386669163,22.3695384,0.775489821,-0.009269163,0.0774,30.62934202,-0.666451552,0.457675239,-0.003883723
34,4,b,2371.3,0.616135332,18.94586223,89.88005417,0.032330545,12.67567988,2.3713,0.089880054,0.344666932,19.74796056,2.386669163,22.3695384,0.846949181,-0.015369163,0.0713,35.30195413,-0.249401388,-0.359523035,-0.006439587
45,5,b,2392,0.635004518,18.75607514,97.45414483,0.025619199,11.44765392,2.392,0.097454145,0.344666932,19.74796056,2.386669163,22.3695384,0.838465006,0.005330837,0.092,36.38307885,-0.152906487,-0.126596189,0.002233589
23,3,b,2422.766667,0.637417692,19.45092243,95.83235482,0.101782085,9.721542689,2.422766667,0.095832355,0.344666932,19.74796056,2.386669163,22.3695384,0.869527215,0.036097504,0.122766667,36.52134354,-0.140565786,-0.176471274,0.015124637
