,block,participants,latency,rad,getpoints,latency.sd,rad.sd,getpoints.sd,latencysecond,latencysdsecond,optimalr,optimaldeg,optimalt,optimalp,index,timingbias,rad.deg,norm.deg,norm.latencysd
1,1,a,2238.068966,0.603546162,24.23236102,128.2644954,0.134382312,6.356709256,2.238068966,0.128264495,0.207948502,11.91457154,2.299999982,37.37140968,0.648419774,-0.061931016,34.58064782,0.676425905,-0.069226091
22,2,a,2248.366667,0.444328464,27.82792477,120.5033934,0.033910677,9.275499493,2.248366667,0.120503393,0.207948502,11.91457154,2.299999982,37.37140968,0.744631391,-0.051633315,25.4581457,-0.185437377,-0.287954254
43,3,a,2270.633333,0.352543776,36.32776491,79.89798812,0.069491226,11.74695617,2.270633333,0.079897988,0.207948502,11.91457154,2.299999982,37.37140968,0.972073712,-0.029366649,20.19927046,-0.682278203,-1.432320819
64,4,a,2271.066667,0.2990233,39.57993739,77.01452319,0.010642454,11.78728061,2.271066667,0.077014523,0.207948502,11.91457154,2.299999982,37.37140968,1.059096719,-0.028933315,17.13277307,-0.971990551,-1.513584408
85,5,a,2279.466667,0.290374762,34.99315878,100.9505626,0.012547691,16.32113104,2.279466667,0.100950563,0.207948502,11.91457154,2.299999982,37.37140968,0.936361756,-0.020533315,16.63724834,-1.018806059,-0.839004167
2,1,b,2208.1,0.550570264,24.80881592,120.0187773,0.339047954,11.74325535,2.2081,0.120018777,0.214076054,12.26565436,2.299999976,36.4484128,0.68065559,-0.091899976,31.54535245,0.389661419,-0.301612001
23,2,b,2264.433333,0.423121892,30.29783146,112.5842775,0.037464588,9.780712624,2.264433333,0.112584278,0.214076054,12.26565436,2.299999976,36.4484128,0.831252423,-0.035566643,24.24309863,-0.300230934,-0.511135637
44,3,b,2291.666667,0.44989805,30.91649862,107.7805348,0.135105668,11.66975869,2.291666667,0.107780535,0.214076054,12.26565436,2.299999976,36.4484128,0.848226198,-0.008333309,25.77725948,-0.155288583,-0.646517684
65,4,b,2293.310345,0.439277246,32.35723559,88.05481387,0.02471407,5.718077867,2.293310345,0.088054814,0.214076054,12.26565436,2.299999976,36.4484128,0.887754311,-0.006689631,25.16873223,-0.212780188,-1.202440118
86,5,b,2274.9,0.455580266,30.29978221,98.84133925,0.024226166,5.594062941,2.2749,0.098841339,0.214076054,12.26565436,2.299999976,36.4484128,0.831305944,-0.025099976,26.10282647,-0.124530109,-0.898447619
