,X,latency,values.getpoints,values.averagepoint,values.rad,id,block,optimalr,optimalt,optimalp,time,timesensitivity,indexp
1,1,1849,5.238780276,0,0.695146273,a,1,0.467684707,2.176807781,17.75200353,1.849,-0.327807781,0.29510924
2,2,2313,-5,5.238780276,0.721266048,a,1,0.467684707,2.176807781,17.75200353,2.313,0.136192219,-0.281658349
3,3,2091,18.6062654,0.119390138,0.697255049,a,1,0.467684707,2.176807781,17.75200353,2.091,-0.085807781,1.048121998
4,4,2316,-5,6.281681891,0.551654983,a,1,0.467684707,2.176807781,17.75200353,2.316,0.139192219,-0.281658349
5,5,2233,29.81585569,3.461261418,0.542705211,a,1,0.467684707,2.176807781,17.75200353,2.233,0.056192219,1.679576936
6,6,2336,-5,8.732180272,0.517892982,a,1,0.467684707,2.176807781,17.75200353,2.336,0.159192219,-0.281658349
7,7,2105,18.95304121,6.44348356,0.541024461,a,1,0.467684707,2.176807781,17.75200353,2.105,-0.071807781,1.067656458
8,8,2242,29.99735875,8.230563225,0.550247194,a,1,0.467684707,2.176807781,17.75200353,2.242,0.065192219,1.689801306
9,9,2365,-5,10.95141267,0.444106123,a,1,0.467684707,2.176807781,17.75200353,2.365,0.188192219,-0.281658349
10,10,2174,26.46099507,9.17903348,0.45564778,a,1,0.467684707,2.176807781,17.75200353,2.174,-0.002807781,1.490592035
11,11,2326,-5,10.90722964,0.420485064,a,1,0.467684707,2.176807781,17.75200353,2.326,0.149192219,-0.281658349
12,12,2118,16.68460465,9.461117854,0.398522446,a,1,0.467684707,2.176807781,17.75200353,2.118,-0.058807781,0.939871639
13,13,2250,37.49924643,10.06307509,0.399515494,a,1,0.467684707,2.176807781,17.75200353,2.25,0.073192219,2.112395165
14,14,2177,26.92128097,12.17354981,0.405366846,a,1,0.467684707,2.176807781,17.75200353,2.177,0.000192219,1.516520708
15,15,2318,-5,13.22695917,0.322865381,a,1,0.467684707,2.176807781,17.75200353,2.318,0.141192219,-0.281658349
16,16,2025,5.894488774,12.01182856,0.408239454,a,1,0.467684707,2.176807781,17.75200353,2.025,-0.151807781,0.332046395
17,17,2177,26.92103059,11.62949483,0.405319685,a,1,0.467684707,2.176807781,17.75200353,2.177,0.000192219,1.516506604
18,18,2137,11.5406066,12.52899693,0.284431864,a,1,0.467684707,2.176807781,17.75200353,2.137,-0.039807781,0.65010164
19,19,2116,9.833509648,12.47408636,0.307494901,a,1,0.467684707,2.176807781,17.75200353,2.116,-0.060807781,0.553938018
20,20,2046,13.5620304,12.33510863,0.553467396,a,1,0.467684707,2.176807781,17.75200353,2.046,-0.130807781,0.763971817
21,21,2168,25.14248132,12.39645472,0.534070379,a,1,0.467684707,2.176807781,17.75200353,2.168,-0.008807781,1.416317954
22,22,2172,25.61760235,13.00340837,0.525278319,a,1,0.467684707,2.176807781,17.75200353,2.172,-0.004807781,1.443082315
23,23,2087,15.20391776,13.57678082,0.466673318,a,1,0.467684707,2.176807781,17.75200353,2.087,-0.089807781,0.856462074
24,24,2100,17.36273404,13.64752591,0.485928044,a,1,0.467684707,2.176807781,17.75200353,2.1,-0.076807781,0.9780718
25,25,2318,-5,13.80232625,0.501604054,a,1,0.467684707,2.176807781,17.75200353,2.318,0.141192219,-0.281658349
26,26,2190,28.02318554,13.0502332,0.484599141,a,1,0.467684707,2.176807781,17.75200353,2.19,0.013192219,1.578592833
27,27,2146,22.9586737,13.62611598,0.487836439,a,1,0.467684707,2.176807781,17.75200353,2.146,-0.030807781,1.293300424
28,28,2093,16.66103413,13.97176627,0.490416533,a,1,0.467684707,2.176807781,17.75200353,2.093,-0.083807781,0.938543872
29,29,1973,12.91170019,14.06781155,0.834415471,a,1,0.467684707,2.176807781,17.75200353,1.973,-0.203807781,0.727337631
30,30,2076,17.66870361,14.02794564,0.789074617,a,1,0.467684707,2.176807781,17.75200353,2.076,-0.100807781,0.995307576
31,31,2186,21.86837874,NA,0.806347479,a,2,0.467684707,2.176807781,17.75200353,2.186,0.009192219,1.231882289
32,32,2151,21.05120003,21.86837874,0.779748506,a,2,0.467684707,2.176807781,17.75200353,2.151,-0.025807781,1.185849248
33,33,1820,3.378332922,21.45978938,0.651076721,a,2,0.467684707,2.176807781,17.75200353,1.82,-0.356807781,0.190307134
34,34,2202,25.62826927,15.43263723,0.636691366,a,2,0.467684707,2.176807781,17.75200353,2.202,0.025192219,1.4436832
35,35,2252,27.45135142,17.98154524,0.637705599,a,2,0.467684707,2.176807781,17.75200353,2.252,0.075192219,1.546380462
36,36,2094,17.1755578,19.87550648,0.506326304,a,2,0.467684707,2.176807781,17.75200353,2.094,-0.082807781,0.96752785
37,37,2121,20.03020556,19.42551503,0.493765961,a,2,0.467684707,2.176807781,17.75200353,2.121,-0.055807781,1.128334924
38,38,2295,34.23310742,19.51189939,0.489646478,a,2,0.467684707,2.176807781,17.75200353,2.295,0.118192219,1.928408101
39,39,2282,34.02098012,21.35205039,0.490416533,a,2,0.467684707,2.176807781,17.75200353,2.282,0.105192219,1.916458616
40,40,1947,3.319016967,22.75970925,0.462494207,a,2,0.467684707,2.176807781,17.75200353,1.947,-0.229807781,0.186965768
41,41,2022,8.89669004,20.81564002,0.479233877,a,2,0.467684707,2.176807781,17.75200353,2.022,-0.154807781,0.501165405
