,X,latency,values.getpoints,values.rad,id,block,optimalt,optimalp,time,timesensitivity,indexp
1,1,2533,15.25395944,1.230045684,a,1,2.480030549,15.32124181,2.533,0.052969451,0.995608556
2,2,2513,15.58947079,1.23060524,a,1,2.480030549,15.32124181,2.513,0.032969451,1.017507
3,3,2518,15.50774397,1.223524123,a,1,2.480030549,15.32124181,2.518,0.037969451,1.012172784
4,4,2390,17.07299496,1.232730204,a,1,2.480030549,15.32124181,2.39,-0.090030549,1.114334933
5,5,2396,17.02658515,1.224164031,a,1,2.480030549,15.32124181,2.396,-0.084030549,1.111305817
6,6,2315,17.40409916,1.241895741,a,1,2.480030549,15.32124181,2.315,-0.165030549,1.135945727
7,7,2393,17.05014854,1.212888841,a,1,2.480030549,15.32124181,2.393,-0.087030549,1.112843773
8,8,2385,17.10947103,1.23781029,a,1,2.480030549,15.32124181,2.385,-0.095030549,1.116715684
9,9,2260,-5,1.232472704,a,1,2.480030549,15.32124181,2.26,-0.220030549,-0.326344304
10,10,2510,15.63779804,1.237180094,a,1,2.480030549,15.32124181,2.51,0.029969451,1.020661265
11,11,2390,17.07299496,1.230699207,a,1,2.480030549,15.32124181,2.39,-0.090030549,1.114334933
12,12,2377,17.16364055,1.233281313,a,1,2.480030549,15.32124181,2.377,-0.103030549,1.120251267
13,13,2416,16.85140838,1.228263545,a,1,2.480030549,15.32124181,2.416,-0.064030549,1.099872229
14,14,2347,17.32008168,1.232653798,a,1,2.480030549,15.32124181,2.347,-0.133030549,1.130462001
15,15,2454,16.43493466,1.234121507,a,1,2.480030549,15.32124181,2.454,-0.026030549,1.072689464
16,16,2308,17.41093496,1.232653798,a,1,2.480030549,15.32124181,2.308,-0.172030549,1.136391891
17,17,2529,15.32287075,1.218176721,a,1,2.480030549,15.32124181,2.529,0.048969451,1.000106319
18,18,2248,-5,1.24443751,a,1,2.480030549,15.32124181,2.248,-0.232030549,-0.326344304
19,19,2479,16.10458242,1.233174089,a,1,2.480030549,15.32124181,2.479,-0.001030549,1.051127749
