,X,latency,values.getpoints,values.averagepoint,values.rad,id,block,optimalr,optimalt,optimalp,time,timesensitivity,indexp
1,1,2516,14.45140172,0,1.405647649,a,1,0.382729867,2.39790633,20.64201386,2.516,0.11809367,0.700096503
2,2,2493,15.96920766,14.45140172,1.212025657,a,1,0.382729867,2.39790633,20.64201386,2.493,0.09509367,0.773626438
3,3,2245,-5,15.21030469,1.055551363,a,1,0.382729867,2.39790633,20.64201386,2.245,-0.15290633,-0.242224428
4,4,2452,17.92856124,8.473536458,1.056732761,a,1,0.382729867,2.39790633,20.64201386,2.452,0.05409367,0.868547098
5,5,2527,17.21730968,10.83729265,0.886231502,a,1,0.382729867,2.39790633,20.64201386,2.527,0.12909367,0.834090598
6,6,2413,23.5924476,12.11329606,0.705568178,a,1,0.382729867,2.39790633,20.64201386,2.413,0.01509367,1.142933425
7,7,2497,18.66335508,14.02648798,0.534559152,a,1,0.382729867,2.39790633,20.64201386,2.497,0.09909367,0.904144102
8,8,2400,31.16929527,14.68889757,0.356149935,a,1,0.382729867,2.39790633,20.64201386,2.4,0.00209367,1.509992944
9,9,2413,9.992324983,16.74894728,0.186895637,a,1,0.382729867,2.39790633,20.64201386,2.413,0.01509367,0.484077041
10,10,2374,38.16806154,15.99821147,0.298498932,a,1,0.382729867,2.39790633,20.64201386,2.374,-0.02390633,1.849047375
11,11,2243,-5,18.21519648,0.432662423,a,1,0.382729867,2.39790633,20.64201386,2.243,-0.15490633,-0.242224428
12,12,2486,17.52686606,16.10472407,0.432407776,a,1,0.382729867,2.39790633,20.64201386,2.486,0.08809367,0.849087021
13,13,2493,19.59901852,16.2232359,0.600209525,a,1,0.382729867,2.39790633,20.64201386,2.493,0.09509367,0.94947221
14,14,2423,22.02150767,16.48291149,0.778238381,a,1,0.382729867,2.39790633,20.64201386,2.423,0.02509367,1.06682942
15,15,2153,-5,16.8785255,0.582879698,a,1,0.382729867,2.39790633,20.64201386,2.153,-0.24490633,-0.242224428
16,16,2489,16.99342789,15.41995713,0.429762279,a,1,0.382729867,2.39790633,20.64201386,2.489,0.09109367,0.82324467
17,17,2492,19.744952,15.51829906,0.634860318,a,1,0.382729867,2.39790633,20.64201386,2.492,0.09409367,0.956541941
18,18,2343,30.96262178,15.7669257,0.541037165,a,1,0.382729867,2.39790633,20.64201386,2.343,-0.05490633,1.49998067
19,19,2514,16.60569194,16.61113104,0.519146114,a,1,0.382729867,2.39790633,20.64201386,2.514,0.11609367,0.804460846
20,20,2328,29.97437693,16.61084477,0.576798591,a,1,0.382729867,2.39790633,20.64201386,2.328,-0.06990633,1.452105261
21,21,2325,36.68864385,17.27902138,0.439842583,a,1,0.382729867,2.39790633,20.64201386,2.325,-0.07290633,1.777377154
22,22,2437,24.93829604,18.20328911,0.441753298,a,1,0.382729867,2.39790633,20.64201386,2.437,0.03909367,1.208132899
23,23,2318,24.44156034,18.50942579,0.765888444,a,1,0.382729867,2.39790633,20.64201386,2.318,-0.07990633,1.184068595
24,24,2225,-5,18.76734469,0.594514139,a,1,0.382729867,2.39790633,20.64201386,2.225,-0.17290633,-0.242224428
25,25,2379,27.32895365,17.77703866,0.604238044,a,1,0.382729867,2.39790633,20.64201386,2.379,-0.01890633,1.323948033
26,26,2224,-5,18.15911526,0.78259705,a,1,0.382729867,2.39790633,20.64201386,2.224,-0.17390633,-0.242224428
27,27,2350,23.72980508,17.26838005,0.782904403,a,1,0.382729867,2.39790633,20.64201386,2.35,-0.04790633,1.149587692
28,28,2479,20.7381248,17.50769209,0.602287346,a,1,0.382729867,2.39790633,20.64201386,2.479,0.08109367,1.004656083
